number,part,testPointName,userAnswer,correctAnswer,isCorrect,analyzeUrl
1,Photographs,描述場景題（動作）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8574
2,Photographs,描述場景題（靜物／方位）,,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8575
3,Photographs,描述對象題（多人）,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8576
4,Photographs,描述場景題（動作）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8577
5,Photographs,描述場景題（靜物／方位）,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8578
6,Photographs,描述對象題（多人）,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8579
7,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8581
8,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8582
9,Question Response,特殊疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8583
10,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8584
11,Question Response,否定／反義疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8585
12,Question Response,陳述句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8586
13,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8587
14,Question Response,一般疑問句,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8588
15,Question Response,選擇疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8589
16,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8590
17,Question Response,選擇疑問句,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8591
18,Question Response,間接疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8592
19,Question Response,一般疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8593
20,Question Response,一般疑問句,B,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8594
21,Question Response,否定／反義疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8595
22,Question Response,一般疑問句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8596
23,Question Response,選擇疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8597
24,Question Response,特殊疑問句,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8598
25,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8599
26,Question Response,陳述句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8600
27,Question Response,一般疑問句,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8601
28,Question Response,否定／反義疑問句,C,A,False,https://elitetoeic.online-test.com.tw/analyze/244447/8602
29,Question Response,一般疑問句,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8603
30,Question Response,陳述句,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8604
31,Question Response,特殊疑問句,A,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8605
32,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8607
33,Short Conversation,對話細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8608
34,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8609
35,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8610
36,Short Conversation,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8611
37,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8612
38,Short Conversation,對話主題／目的題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8613
39,Short Conversation,對話細節題,A,A,True,https://elitetoeic.online-test.com.tw/analyze/244447/8614
40,Short Conversation,對話細節題,,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8615
41,Short Conversation,對話主題／目的題,D,D,True,https://elitetoeic.online-test.com.tw/analyze/244447/8616
42,Short Conversation,對話細節題,C,D,False,https://elitetoeic.online-test.com.tw/analyze/244447/8617
43,Short Conversation,對話細節題,C,B,False,https://elitetoeic.online-test.com.tw/analyze/244447/8618
44,Short Conversation,對話細節題,D,C,False,https://elitetoeic.online-test.com.tw/analyze/244447/8619
45,Short Conversation,對話涵義判定題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8620
46,Short Conversation,對話涵義判定題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8621
47,Short Conversation,對話細節題,B,B,True,https://elitetoeic.online-test.com.tw/analyze/244447/8622
48,Short Conversation,對話細節題,C,C,True,https://elitetoeic.online-test.com.tw/analyze/244447/8623
